CIPLA,GAIL,HDFC,INFY,ITC,M&M,MARUTI,RELIANCE,TCS,TITAN,DHFL,IDBI,PNB,VOLTAS,SUNTV,TATA POWER,NBCC,MRPL,IGL,RELINFRA,SUZLON,RAYMOND,PVR,ASHOKA,BAJAJELEC,VENKEYS,CENTURYPLY,BOMDYEING,LEMONTREE,SONATSOFTW
566.35,381,1759.05,926.65,282,1358.15,7557.45,1564.1,2484.55,611.6,503.4,55.3,142.5,523.2,704.15,77.65,206.4,132.65,1256.85,507,16.45,763.05,1309.95,191.25,342.15,2018.6,251.15,104.45,77.65,159.3
571.9,378.3,1776.9,914.95,282.25,1344.8,7700.3,1594.5,2496.35,617.1,505.2,55.1,143.8,524.75,696.45,79.25,204.55,138.85,1275.6,509.25,16.3,777.15,1321.45,195.45,348.1,1991.65,252.6,114.85,76.7,158.25
568.4,384.15,1759.55,919.95,283.6,1347.6,7812.3,1610.1,2456.45,613.5,516.95,55.35,144.45,526.8,768.3,80.1,208.65,139.55,1275,522.1,16.55,811.6,1323.4,192.75,341.8,1986.9,251.95,122.55,77.6,159.55
561.7,379.6,1755.4,900.2,283.1,1328.3,7821.5,1613.35,2456.2,612.25,520.85,55,142.65,519.35,807.4,78.45,206.8,135.4,1262.15,507.9,16.15,859.2,1310.25,189.85,345.4,1977.25,249.5,134.8,81.75,158.2
559.6,378.7,1767.3,901.9,282.85,1324.65,7817.2,1632.6,2484.35,638.85,550.35,55.55,143.6,522.7,826.2,78.35,209,138.55,1318.75,514.3,16.35,854.7,1304.9,188.9,343.8,1983.3,242.85,139.45,81.9,158
558.3,382.25,1775,895.6,275.7,1316.55,7846.65,1645.4,2453.2,640.8,556,54.85,139,526.25,832.55,78,208.4,136.05,1304.7,515.25,16.3,857.4,1308.4,187.45,343.45,1992.35,239.1,146.4,79.6,155.15
554.2,381.55,1781.7,895.75,270.4,1339.95,7919.2,818.1,2460.1,637,550.95,55.45,138.95,531.55,833.15,77.35,210.3,134.85,1311.3,515.5,16.25,893.05,1323.65,185.1,339.7,1988.9,252.2,153.7,78,154.05
552,380.1,1779.15,884.3,272.35,1295.4,7970.75,816.9,2470.6,633.4,544.3,56.2,137.85,537.25,806.95,77,208.8,134,1374.9,502.2,16.15,884.9,1366.35,187.4,345.8,1985,253.45,156.35,76.3,153.6
553.85,394.8,1781.7,878.7,273.6,1280.2,8142.4,817.9,2454.45,632.95,548.3,56.2,138.15,534.65,828.4,80.6,208.45,136.15,1385.1,508.6,16.8,901.3,1344.85,196.35,367.85,2015.75,252.95,148.95,81.5,154.55
560.5,409.6,1798.1,884.05,277.65,1300.75,8154.5,823.75,2488.45,637.9,557.8,56.55,141.5,562.5,826.25,81,213.5,138.6,1427.85,515.3,16.95,907.65,1346.85,199.95,377.75,2039.55,251.75,151.85,83.4,156.5
554.4,408,1778.1,883.75,271.5,1307.35,8122.6,849,2489.2,630.3,552.1,55.75,143,549.2,812.5,84.8,210.15,134.4,1400.4,515.65,17.1,885.9,1323.35,198,372.8,2160.45,250.3,159.1,84.7,153.9
565.95,400.95,1771.8,892.4,272,1290.75,8070.25,843.85,2486.95,633.55,561,56.65,145.25,545.35,836.4,85.25,213.15,135.05,1428.85,507.55,17.1,894.4,1321.35,198.9,402.85,2161.85,252.25,167.05,82.75,152.15
561.4,399.85,1768.95,908.25,269.3,1294.25,8099.75,841.8,2506.05,632.15,568.3,56.6,144.65,544.75,824.1,84.3,212.35,135.85,1439.7,499.6,16.95,880.3,1336.35,197.85,389.6,2168.75,246.4,175.4,82.85,156.75
570.7,400.25,1771.75,909.1,267,1295,8157.85,845.55,2499.05,646.1,602.05,57.2,144.75,552.05,849.7,83.7,213.55,135.6,1443.25,501.6,16.9,885.75,1329.3,198.5,401.6,2185.1,244.75,184.15,81.6,155.5
573.4,420.85,1752.6,912.25,267.85,1294.75,8131.7,838.6,2498.25,641.55,609.4,56.65,143.9,548.35,850.35,84.6,215,136.9,1483.75,495.7,16.75,882.75,1337.8,193.1,389.3,2182.95,247.9,193.35,80.65,155.2
569.7,417.3,1767.15,912.7,271.55,1292.45,8120.15,847.15,2493.55,630.8,590.75,56.9,144.8,549.15,841.65,84,220.15,134.4,1498.65,494.15,16.75,870.05,1310,196.05,382.85,2184.1,249.05,202.8,78.55,154.55
591.9,407.75,1788.6,909.55,269.55,1291.45,8144.95,841.35,2524.9,618.55,595.4,56.05,141.8,535.1,829.55,83.1,224.05,131.9,1516.35,488.55,17,861.85,1281.2,194.5,376.6,2153.1,247.4,212.9,79.75,154.15
585.35,398.55,1780.95,898.3,268.45,1287.15,8068.2,817.4,2503.6,602.3,568.2,54,137.7,515.25,819.75,80.4,216.4,127.25,1436.4,471.25,16.3,825.35,1217.7,192.15,373.35,2059.9,247.15,203.15,78.2,153
577.2,398.15,1755.05,895.35,262.25,1260,7964.95,821.55,2510.75,602.15,524.55,53.15,137.65,509.65,783.45,81.85,211.35,123.25,1453.75,463.85,16.1,798.05,1214.9,187.05,357.75,1950.55,239.75,193,79,148.7
579,398.8,1741.25,905.9,262.45,1247.15,7889.9,820.1,2474.65,592.25,556.4,53.5,136.65,518.7,771.5,79.95,212.4,120.45,1435.25,474,16.15,814.35,1211.85,186.2,358.45,1991.55,246.15,186,78,147.55
570.1,399.75,1719.35,899.8,258.5,1232,7739.95,799.15,2495,590,525.55,52.2,132.65,512.55,743.85,78.15,207.5,121.25,1409.45,463.4,15.8,786.2,1174.6,181.85,355.3,1957.25,242.8,176.7,79,145.3
582.65,396.25,1744.35,896,261.55,1230.55,7897.35,786.45,2476.45,575.65,534.35,52.55,130.75,501,733.7,77.25,210.6,122.1,1459.1,462.6,15.4,810.7,1194.65,185.05,357,1984.25,241.7,167.9,77.25,147.35
586.1,419.05,1742.15,899.9,258.3,1254.25,7978.2,780.9,2435.95,584.55,549.65,52.35,129.05,506.05,762.05,77.8,212.6,126.9,1471.9,465.05,15.6,812.15,1204.9,187.7,353.05,2000.45,249.3,176.25,78.7,147.4
