,Date,Month,Year,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Day_Perc_Change,Trend
259,12/10/2018,10,2018,258.78,261,261.99,252.01,7.2,-0.31203051,No change
260,11/10/2018,10,2018,252.23,257.53,262.25,249.03,8.17,-2.531107504,Negative
261,10/10/2018,10,2018,256.88,264.61,265.51,247.77,12.82,1.843555485,Positive
262,09/10/2018,10,2018,262.8,255.25,266.77,253.3,12.06,2.304578013,Positive
263,08/10/2018,10,2018,250.56,264.52,267.76,249,13.47,-4.657534247,Among top losers
264,05/10/2018,10,2018,261.95,274.65,274.88,260,17.94,4.545817369,Among top gainers
265,04/10/2018,10,2018,281.83,293.95,294,277.67,9.81,7.589234587,Bull run
266,03/10/2018,10,2018,294.8,303.33,304.6,291.57,7.99,4.602065075,Among top gainers
267,02/10/2018,10,2018,301.02,313.95,316.84,299.15,11.74,2.10990502,Positive
268,01/10/2018,10,2018,310.7,305.77,311.44,301.05,21.78,3.215733174,Among top gainers
269,28/09/2018,9,2018,264.77,270.26,278,260.56,33.65,-14.78274863,Bear drop
270,27/09/2018,9,2018,307.52,312.9,314.96,306.91,8.51,16.14608906,Bull run
271,26/09/2018,9,2018,309.58,301.91,313.89,301.11,7.84,0.66987513,Slight positive
272,25/09/2018,9,2018,300.99,300,304.6,296.5,4.48,-2.77472705,Negative
273,24/09/2018,9,2018,299.68,298.48,303,293.58,4.84,-0.435230406,No change
274,21/09/2018,9,2018,299.1,297.7,300.58,295.37,5.05,-0.193539776,No change
275,20/09/2018,9,2018,298.33,303.56,305.98,293.33,7.35,-0.257438984,No change
276,19/09/2018,9,2018,299.02,280.51,300,280.5,8.29,0.2312875,No change
277,18/09/2018,9,2018,284.96,296.69,302.64,275.5,16.55,-4.70202662,Among top losers
278,17/09/2018,9,2018,294.84,290.04,300.87,288.13,6.89,3.467153285,Among top gainers
279,14/09/2018,9,2018,295.2,288.76,297.33,286.52,6.77,0.122100122,No change
280,13/09/2018,9,2018,289.46,288.02,295,285.18,6.34,-1.944444444,Negative
281,12/09/2018,9,2018,290.54,281.44,292.5,278.65,10.02,0.373108547,No change
282,11/09/2018,9,2018,279.44,279.47,282,273.55,9.17,-3.820472224,Among top losers
283,10/09/2018,9,2018,285.5,273.26,286.03,271,14.28,2.16862296,Positive
284,07/09/2018,9,2018,263.24,260.1,268.35,252.25,22.49,-7.796847636,Bear drop
285,06/09/2018,9,2018,280.95,284.8,291.17,278.88,7.48,6.727700957,Among top gainers
286,05/09/2018,9,2018,280.74,285.05,286.78,277.18,7.72,-0.074746396,No change
287,04/09/2018,9,2018,288.95,296.94,298.19,288,8.35,2.924414049,Positive
288,31/08/2018,8,2018,301.66,302,305.31,298.6,5.38,4.398684894,Among top gainers
289,30/08/2018,8,2018,303.15,302.26,304.6,297.72,7.22,0.493933568,No change
290,29/08/2018,8,2018,305.01,310.27,311.85,303.69,7.45,0.613557645,Slight positive
291,28/08/2018,8,2018,311.86,318.41,318.88,311.19,7.65,2.245828006,Positive
292,27/08/2018,8,2018,319.27,318,322.44,308.81,13.08,2.376066184,Positive
293,24/08/2018,8,2018,322.82,320.7,323.85,319.4,3.6,1.111911548,Positive
294,23/08/2018,8,2018,320.1,319.14,327.32,318.1,5.15,-0.842574809,Slight negative
295,22/08/2018,8,2018,321.64,320.87,323.88,314.67,5.95,0.481099656,No change
296,21/08/2018,8,2018,321.9,310.61,324.79,309,13.17,0.080835717,No change
297,20/08/2018,8,2018,308.44,291.7,308.5,288.2,17.4,-4.181422802,Among top losers
298,17/08/2018,8,2018,305.5,323.5,326.77,303.53,18.96,-0.953183763,Slight negative
299,16/08/2018,8,2018,335.45,339.91,342.28,333.82,6.06,9.803600655,Bull run
300,15/08/2018,8,2018,338.69,341.91,344.49,332.14,9.1,0.965866746,Slight positive
301,14/08/2018,8,2018,347.64,358.45,359.2,347.1,6.99,2.642534471,Positive
302,13/08/2018,8,2018,356.41,361.13,363.19,349.02,10.46,2.522724658,Positive
303,10/08/2018,8,2018,355.49,354,360,346,11.55,-0.258129682,No change
304,09/08/2018,8,2018,352.45,365.55,367.01,345.73,17.18,-0.85515767,Slight negative
305,08/08/2018,8,2018,370.34,369.09,382.64,367.12,24.57,5.07589729,Among top gainers
306,07/08/2018,8,2018,379.57,343.84,387.46,339.15,30.88,2.492304369,Positive
307,06/08/2018,8,2018,341.99,345.46,354.98,341.82,8.56,-9.900677082,Bear drop
308,03/08/2018,8,2018,348.17,347.81,355,342.53,13.66,1.807070382,Positive
309,02/08/2018,8,2018,349.54,328.44,349.99,323.16,23.21,0.393485941,No change
310,01/08/2018,8,2018,300.84,297.99,303,293,10.13,-13.93259713,Bear drop
311,31/07/2018,7,2018,298.14,292.25,298.32,289.07,5.08,-0.897487036,Slight negative
312,30/07/2018,7,2018,290.17,295.9,296.1,286.13,6.81,-2.673240759,Negative
313,27/07/2018,7,2018,297.18,307.25,307.69,295.34,5.7,2.415825206,Positive
314,26/07/2018,7,2018,306.65,304.85,310.7,303.64,4.63,3.186620903,Among top gainers
315,25/07/2018,7,2018,308.74,296.74,309.62,294.5,7.09,0.68155878,Slight positive
316,24/07/2018,7,2018,297.43,304.42,307.72,292.55,9.59,-3.663276543,Among top losers
317,23/07/2018,7,2018,303.2,301.84,305.5,292.86,10.99,1.939952258,Positive
318,20/07/2018,7,2018,313.58,321.23,323.24,311.71,5.17,3.42348285,Among top gainers
319,19/07/2018,7,2018,320.23,316.33,323.54,314.01,5.92,2.120670961,Positive
320,18/07/2018,7,2018,323.85,325,325.5,316.25,5.62,1.130437498,Positive
321,17/07/2018,7,2018,322.69,308.81,324.74,308.5,7,-0.35819052,No change
322,16/07/2018,7,2018,310.1,311.71,315.16,306.25,7.82,-3.901577365,Among top losers
323,13/07/2018,7,2018,318.87,315.58,319.58,309.25,5.88,2.828119961,Positive
324,12/07/2018,7,2018,316.71,321.43,323.23,312.77,5.72,-0.677392041,Slight negative
325,11/07/2018,7,2018,318.96,315.8,321.94,315.07,4.88,0.710429099,Slight positive
326,10/07/2018,7,2018,322.47,324.56,327.68,319.2,9.47,1.100451467,Positive
327,09/07/2018,7,2018,318.51,311.99,318.52,308,7.6,-1.228021211,Negative
328,06/07/2018,7,2018,308.9,304.95,312.07,302,8.87,-3.017173715,Among top losers
329,05/07/2018,7,2018,309.16,313.76,314.39,296.22,17.48,0.084169634,No change
330,03/07/2018,7,2018,310.86,331.75,332.49,309.69,12.28,0.549877086,Slight positive
331,02/07/2018,7,2018,335.07,360.07,364.78,329.85,18.76,7.788071801,Bull run
332,29/06/2018,6,2018,342.95,353.33,353.86,342.41,6.49,2.351747396,Positive
333,28/06/2018,6,2018,349.93,348.66,357.02,346.11,8.4,2.035282111,Positive
334,27/06/2018,6,2018,344.5,345,350.79,339.5,8.33,-1.551738919,Negative
